petition_id,granularity,site_id,site_name,parent_operator,lifecycle_status
491365030,county,398,"Aligned: Coshocton Campus (Coshocton County, OH)",Aligned,proposed
491311904,county,,,,
491011639,city,,,,
490837564,county,941,"Google: Montgomery County Missouri (Montgomery County, MO)",Google,approved
491035975,county,,,,
490914649,city,,,,
491410190,county,103,"CyrusOne: Douglasville (Douglas County, GA)",CyrusOne,cancelled
491326694,city,19,"Apple: Mesa Data Center (Maricopa County, AZ)",Apple,under_construction
491239113,city,,,,
491396542,city,,,,
490924321,city,,,,
491057418,county,629,Bedington Campus,Penzance Management,proposed
490990390,county,,,,
490975147,city,,,,
491377035,city,,,,
490965834,city,,,,
490919980,city,568,"Switch: Austin (Williamson County, TX)",Switch,under_construction
491232659,city,,,,
491051660,city,756,Everett Docklands Data Center (Restriction Ordinance),,proposed
491334561,city,153,"Microsoft: Hoffman Estates Campus (Cook County, IL)",Microsoft,operational
491306342,county,,,,
491219278,city,553,"Meta: El Paso (El Paso County, TX)",Meta,under_construction
491330734,county,,,,
490664619,county,766,Mason County KY Hyperscale Data Center Campus,,approved
491304197,city,,,,
490960489,city,284,"Nebius: Independence AI Factory (Jackson County, MO)",Nebius,under_construction
491187762,city,,,,
491308271,county,,,,
491161108,county,226,"AWS: Calvert Technology Center (Calvert County, MD)",AWS,proposed
491229535,county,435,"Crane Data Centers: PDX-01 (Washington County, OR)",,under_construction
491292551,city,453,"CoreWeave: Lancaster (Lancaster County, PA)",CoreWeave,under_construction
491413631,city,,,,
491090588,city,,,,
491189738,city,,,,
491194024,city,,,,
491311826,county,,,,
491303563,city,,,,
491195459,city,,,,
490895419,county,668,Project West (LaGrange Troup County),,proposed
491419233,county,,,,
491167946,city,,,,
491301021,city,,,,
491395595,county,,,,
491245880,city,,,,
491259652,city,,,,
490867568,city,,,,
491222322,city,,,,
491119945,city,342,"Nebius: Dataone Vineland (Cumberland County, NJ)",Nebius,under_construction
491317785,county,,,,
491193951,county,912,Fort Meade Hyperscale Campus,Stonebridge,approved
490589739,county,598,"CleanArc: VA1 Campus (Caroline County, VA)",CleanArc Data Centers,under_construction
491226386,county,104,"DC BLOX: Atlanta East (Rockdale County, GA)",DC BLOX,under_construction
491203640,county,,,,
491311663,city,,,,
491434929,county,,,,
491193951,county,89,Fort Meade Data Center Campus,,approved
491309532,county,231,"Atmosphere: Dickerson Data Center Campus (Montgomery County, MD)",Atmosphere Data Centers,proposed
490842928,city,,,,
491243282,city,,,,
491112425,city,,,,
491393422,city,,,,
490534389,county,233,"Catellus Development: Quantum Frederick (Frederick County, MD)",Catellus Development,under_construction
491156266,city,,,,
