petition_id,slug,title,created_at,signatures_total,comment_total,state,granularity,n_decision_makers
490605661,stop-ai-data-center-in-hillsboro,Stop AI data center in hillsboro,2025-06-08T23:18:59+00:00,1096,19,OR,city,3
490670104,stop-data-center-construction-in-lackawanna-county,Stop Data Center Construction in Lackawanna County,2025-07-25T11:27:27+00:00,2285,39,PA,state,0
491102735,stop-the-installation-of-data-centers-in-pennsylvania,Stop the installation of data centers in Pennsylvania,2026-03-12T17:50:12+00:00,5056,86,,none,5
491044032,pass-a-moratorium-on-mega-data-centers-in-minnesota,Pass a Moratorium on Mega Data Centers in Minnesota,2026-02-20T19:30:33+00:00,592,10,MN,state,3
491049447,stop-expanding-data-center-tax-breaks-in-oregon,Stop Expanding Data Center Tax Breaks in Oregon,2026-02-23T17:59:34+00:00,292,4,OR,state,1
490732173,stop-data-center-expansion-in-georgia-tell-brian-kemp-psc-make-big-tech-pay,Stop data center expansion in Georgia— Tell Brian Kemp & PSC: Make Big Tech Pay,2025-08-25T19:42:26+00:00,39,2,GA,state,3
491239738,national-petition-against-hyperscale-data-centers,National Petition Against Hyperscale Data Centers,2026-05-13T23:45:01+00:00,23926,173,,none,2
491056805,stop-data-centers-in-west-virginia,Stop data centers in West Virginia,2026-02-27T13:21:55+00:00,3832,66,WV,state,3
37772573,prohibit-data-centers-in-the-sugarloaf-plan-area,PROHIBIT Data Centers in the Sugarloaf Plan Area,2023-12-01T16:46:48+00:00,1806,3,,none,0
490664619,save-mason-county-no-data-center-please-do-not-donate,Save Mason County — No Data Center (PLEASE DO NOT DONATE),2025-07-21T19:45:10+00:00,1419,23,KY,county,3
490954385,no-data-centers-in-our-communities-georgia-fights-back,No Data Centers in Our Communities! Georgia Fights Back!,2026-01-06T17:52:06+00:00,1467,32,GA,county,6
490368484,stop-the-proposed-code-changes-to-allow-nuclear-reactors-in-eagle-mountain-utah,"Stop the Proposed Code Changes to Allow Nuclear Reactors in Eagle Mountain, Utah",2025-01-10T07:27:31+00:00,934,21,UT,city,6
491061024,stop-ai-data-center-construction-in-montana,Stop AI data center construction in Montana,2026-03-02T18:16:15+00:00,840,19,MT,city,7
490759938,oppose-archbald-borough-data-centers-limit-the-number-of-data-centers-in-archbald,Oppose Archbald Borough Data Centers! - Limit the number of data centers in Archbald,2025-09-07T14:11:46+00:00,676,6,PA,city,3
490664673,say-no-to-data-centers-in-maysville-ky,Say No to Data Centers in Maysville KY,2025-07-21T20:21:11+00:00,433,2,KY,city,5
490534389,approve-cdi-floating-zone-oppose-by-right-data-center-siting,"Approve CDI Floating Zone - Oppose ""By Right"" Data Center Siting",2025-04-19T19:07:11+00:00,370,7,MD,county,2
490623971,stop-data-center-at-former-landover-mall-site,Stop Data Center at Former Landover Mall Site,2025-06-21T19:23:45+00:00,24336,346,MD,city,3
37046946,protect-high-falls-lake-the-towaliga-watershed-from-data-center-industrial-development,Protect High Falls Lake the & Towaliga Watershed from Data Center & Industrial Development,2023-08-04T14:04:00+00:00,14465,128,,none,9
490861784,stop-the-massive-ai-data-center-in-saline-township-in-michigan,Stop the massive AI data center in Saline Township in Michigan,2025-10-31T15:17:26+00:00,9666,104,MI,state,10
490643870,tell-tucson-city-council-to-stop-project-blue-ai-center-in-tucson,Tell Tucson City Council to Stop Project Blue AI Center in Tucson,2025-07-06T22:30:45+00:00,6679,132,AZ,city,6
490818132,say-no-to-data-centers-in-joliet,SAY NO TO DATA CENTERS IN JOLIET!,2025-10-05T21:29:46+00:00,6694,142,IL,city,9
490946520,stop-data-centers-coming-to-upstate-sc,"Stop Data Centers Coming to Upstate, SC",2025-12-30T22:16:50+00:00,5423,147,SC,state,5
